Date,Users,Sessions
"Apr 1, 2014",0,105
"Apr 2, 2014",0,111
"Apr 3, 2014",0,93
"Apr 4, 2014",0,86
"Apr 5, 2014",0,60
"Apr 6, 2014",0,61
"Apr 7, 2014",0,113
"Apr 8, 2014",0,119
"Apr 9, 2014",0,97
"Apr 10, 2014",0,108
"Apr 11, 2014",0,79
"Apr 12, 2014",0,50
"Apr 13, 2014",0,54
"Apr 14, 2014",0,92
"Apr 15, 2014",0,83
"Apr 16, 2014",0,78
"Apr 17, 2014",0,87
"Apr 18, 2014",0,46
"Apr 19, 2014",0,94
"Apr 20, 2014",0,52
"Apr 21, 2014",0,86
"Apr 22, 2014",0,103
"Apr 23, 2014",0,121
"Apr 24, 2014",0,85
"Apr 25, 2014",0,72
"Apr 26, 2014",0,59
"Apr 27, 2014",0,41
"Apr 28, 2014",0,77
"Apr 29, 2014",0,106
"Apr 30, 2014",0,69
"May 1, 2014",0,73
"May 2, 2014",0,87
"May 3, 2014",0,64
"May 4, 2014",0,52
"May 5, 2014",0,88
"May 6, 2014",0,98
"May 7, 2014",0,78
"May 8, 2014",0,107
"May 9, 2014",0,88
"May 10, 2014",0,50
"May 11, 2014",0,36
"May 12, 2014",0,89
"May 13, 2014",0,86
"May 14, 2014",0,86
"May 15, 2014",0,99
"May 16, 2014",0,72
"May 17, 2014",0,40
"May 18, 2014",0,42
"May 19, 2014",0,84
"May 20, 2014",0,80
"May 21, 2014",0,80
"May 22, 2014",0,65
"May 23, 2014",0,68
"May 24, 2014",0,43
"May 25, 2014",0,28
"May 26, 2014",0,42
"May 27, 2014",0,70
"May 28, 2014",0,68
"May 29, 2014",0,48
"May 30, 2014",0,64
"May 31, 2014",0,48
"Jun 1, 2014",0,48
"Jun 2, 2014",0,78
"Jun 3, 2014",0,70
"Jun 4, 2014",0,71
"Jun 5, 2014",0,77
"Jun 6, 2014",0,73
"Jun 7, 2014",0,49
"Jun 8, 2014",0,47
"Jun 9, 2014",0,73
"Jun 10, 2014",0,64
"Jun 11, 2014",0,79
"Jun 12, 2014",0,51
"Jun 13, 2014",0,41
"Jun 14, 2014",0,31
"Jun 15, 2014",0,22
"Jun 16, 2014",0,48
"Jun 17, 2014",0,55
"Jun 18, 2014",0,45
"Jun 19, 2014",0,46
"Jun 20, 2014",0,46
"Jun 21, 2014",0,37
"Jun 22, 2014",0,34
"Jun 23, 2014",0,46
"Jun 24, 2014",0,47
"Jun 25, 2014",0,42
"Jun 26, 2014",0,35
"Jun 27, 2014",0,35
"Jun 28, 2014",0,22
"Jun 29, 2014",0,24
"Jun 30, 2014",0,52
"Jul 1, 2014",0,53
"Jul 2, 2014",0,53
"Jul 3, 2014",0,61
"Jul 4, 2014",0,45
"Jul 5, 2014",0,35
"Jul 6, 2014",0,25
"Jul 7, 2014",0,41
"Jul 8, 2014",0,45
"Jul 9, 2014",0,44
"Jul 10, 2014",0,39
"Jul 11, 2014",0,45
"Jul 12, 2014",0,30
"Jul 13, 2014",0,29
"Jul 14, 2014",0,55
"Jul 15, 2014",0,63
"Jul 16, 2014",0,52
"Jul 17, 2014",0,46
"Jul 18, 2014",0,54
"Jul 19, 2014",0,34
"Jul 20, 2014",0,26
"Jul 21, 2014",0,62
"Jul 22, 2014",0,62
"Jul 23, 2014",0,68
"Jul 24, 2014",0,56
"Jul 25, 2014",0,59
"Jul 26, 2014",0,34
"Jul 27, 2014",0,20
"Jul 28, 2014",0,54
"Jul 29, 2014",0,46
"Jul 30, 2014",0,50
"Jul 31, 2014",0,50
"Aug 1, 2014",0,42
"Aug 2, 2014",0,41
"Aug 3, 2014",0,26
"Aug 4, 2014",0,69
"Aug 5, 2014",0,57
"Aug 6, 2014",0,67
"Aug 7, 2014",0,75
"Aug 8, 2014",0,51
"Aug 9, 2014",0,32
"Aug 10, 2014",0,30
"Aug 11, 2014",0,82
"Aug 12, 2014",0,77
"Aug 13, 2014",0,71
"Aug 14, 2014",0,63
"Aug 15, 2014",0,43
"Aug 16, 2014",0,33
"Aug 17, 2014",0,32
"Aug 18, 2014",0,64
"Aug 19, 2014",0,53
"Aug 20, 2014",0,49
"Aug 21, 2014",0,67
"Aug 22, 2014",0,76
"Aug 23, 2014",0,37
"Aug 24, 2014",0,24
"Aug 25, 2014",0,57
"Aug 26, 2014",0,60
"Aug 27, 2014",0,55
"Aug 28, 2014",0,69
"Aug 29, 2014",0,35
"Aug 30, 2014",0,54
"Aug 31, 2014",0,29
"Sep 1, 2014",0,35
"Sep 2, 2014",0,62
"Sep 3, 2014",0,64
"Sep 4, 2014",0,58
"Sep 5, 2014",0,59
"Sep 6, 2014",0,29
"Sep 7, 2014",0,36
"Sep 8, 2014",0,65
"Sep 9, 2014",0,58
"Sep 10, 2014",0,60
"Sep 11, 2014",0,87
"Sep 12, 2014",0,78
"Sep 13, 2014",0,43
"Sep 14, 2014",0,49
"Sep 15, 2014",0,73
"Sep 16, 2014",0,73
"Sep 17, 2014",0,72
"Sep 18, 2014",0,78
"Sep 19, 2014",0,61
"Sep 20, 2014",0,54
"Sep 21, 2014",0,30
"Sep 22, 2014",0,63
"Sep 23, 2014",0,78
"Sep 24, 2014",0,68
"Sep 25, 2014",0,56
"Sep 26, 2014",0,87
"Sep 27, 2014",0,52
"Sep 28, 2014",0,34
"Sep 29, 2014",0,70
"Sep 30, 2014",0,81
"Oct 1, 2014",0,42
"Oct 2, 2014",0,44
"Oct 3, 2014",0,66
"Oct 4, 2014",0,48
"Oct 5, 2014",0,29
"Oct 6, 2014",0,48
"Oct 7, 2014",0,64
"Oct 8, 2014",0,71
"Oct 9, 2014",0,74
"Oct 10, 2014",0,61
"Oct 11, 2014",0,50
"Oct 12, 2014",0,39
"Oct 13, 2014",0,59
"Oct 14, 2014",0,78
"Oct 15, 2014",0,59
"Oct 16, 2014",0,58
"Oct 17, 2014",0,58
"Oct 18, 2014",0,37
"Oct 19, 2014",0,32
"Oct 20, 2014",0,51
"Oct 21, 2014",0,62
"Oct 22, 2014",0,38
"Oct 23, 2014",0,32
"Oct 24, 2014",0,42
"Oct 25, 2014",0,31
"Oct 26, 2014",0,23
"Oct 27, 2014",0,54
"Oct 28, 2014",0,49
"Oct 29, 2014",0,60
"Oct 30, 2014",0,63
"Oct 31, 2014",0,78
"Nov 1, 2014",0,50
"Nov 2, 2014",0,35
"Nov 3, 2014",0,77
"Nov 4, 2014",0,76
"Nov 5, 2014",0,79
"Nov 6, 2014",0,62
"Nov 7, 2014",0,78
"Nov 8, 2014",0,54
"Nov 9, 2014",0,47
"Nov 10, 2014",0,67
"Nov 11, 2014",0,75
"Nov 12, 2014",0,93
"Nov 13, 2014",0,67
"Nov 14, 2014",0,67
"Nov 15, 2014",0,44
"Nov 16, 2014",0,42
"Nov 17, 2014",0,66
"Nov 18, 2014",0,68
"Nov 19, 2014",0,80
"Nov 20, 2014",0,68
"Nov 21, 2014",0,73
"Nov 22, 2014",0,54
"Nov 23, 2014",0,38
"Nov 24, 2014",0,57
"Nov 25, 2014",0,82
"Nov 26, 2014",0,66
"Nov 27, 2014",0,57
"Nov 28, 2014",0,49
"Nov 29, 2014",0,41
"Nov 30, 2014",0,42
"Dec 1, 2014",0,49
"Dec 2, 2014",0,83
"Dec 3, 2014",0,78
"Dec 4, 2014",0,59
"Dec 5, 2014",0,55
"Dec 6, 2014",0,49
"Dec 7, 2014",0,25
"Dec 8, 2014",0,64
"Dec 9, 2014",0,72
"Dec 10, 2014",0,66
"Dec 11, 2014",0,71
"Dec 12, 2014",0,54
"Dec 13, 2014",0,48
"Dec 14, 2014",0,33
"Dec 15, 2014",0,72
"Dec 16, 2014",0,54
"Dec 17, 2014",0,53
"Dec 18, 2014",0,44
"Dec 19, 2014",0,53
"Dec 20, 2014",0,50
"Dec 21, 2014",0,40
"Dec 22, 2014",0,61
"Dec 23, 2014",0,50
"Dec 24, 2014",0,32
"Dec 25, 2014",0,29
"Dec 26, 2014",0,37
"Dec 27, 2014",0,22
"Dec 28, 2014",0,20
"Dec 29, 2014",0,43
"Dec 30, 2014",0,52
"Dec 31, 2014",0,34
"Jan 1, 2015",0,15
"Jan 2, 2015",0,46
"Jan 3, 2015",0,26
"Jan 4, 2015",0,29
"Jan 5, 2015",0,49
"Jan 6, 2015",0,61
"Jan 7, 2015",0,52
"Jan 8, 2015",0,60
"Jan 9, 2015",0,50
"Jan 10, 2015",0,36
"Jan 11, 2015",0,26
"Jan 12, 2015",0,75
"Jan 13, 2015",0,67
"Jan 14, 2015",0,41
"Jan 15, 2015",0,64
"Jan 16, 2015",0,39
"Jan 17, 2015",0,40
"Jan 18, 2015",0,21
"Jan 19, 2015",0,53
"Jan 20, 2015",0,72
"Jan 21, 2015",0,61
"Jan 22, 2015",0,58
"Jan 23, 2015",0,62
"Jan 24, 2015",0,42
"Jan 25, 2015",0,30
"Jan 26, 2015",0,45
"Jan 27, 2015",0,67
"Jan 28, 2015",0,68
"Jan 29, 2015",0,67
"Jan 30, 2015",0,74
"Jan 31, 2015",0,49
"Feb 1, 2015",0,39
"Feb 2, 2015",0,74
"Feb 3, 2015",0,86
"Feb 4, 2015",0,74
"Feb 5, 2015",0,69
"Feb 6, 2015",0,64
"Feb 7, 2015",0,53
"Feb 8, 2015",0,41
"Feb 9, 2015",0,73
"Feb 10, 2015",0,73
"Feb 11, 2015",0,63
"Feb 12, 2015",0,76
"Feb 13, 2015",0,49
"Feb 14, 2015",0,30
"Feb 15, 2015",0,23
"Feb 16, 2015",0,67
"Feb 17, 2015",0,54
"Feb 18, 2015",0,62
"Feb 19, 2015",0,66
"Feb 20, 2015",0,63
"Feb 21, 2015",0,41
"Feb 22, 2015",0,28
"Feb 23, 2015",0,74
"Feb 24, 2015",0,78
"Feb 25, 2015",0,59
"Feb 26, 2015",0,83
"Feb 27, 2015",0,57
"Feb 28, 2015",0,31
"Mar 1, 2015",0,45
"Mar 2, 2015",0,86
"Mar 3, 2015",0,81
"Mar 4, 2015",0,73
"Mar 5, 2015",0,68
"Mar 6, 2015",0,81
"Mar 7, 2015",0,57
"Mar 8, 2015",0,46
"Mar 9, 2015",0,70
"Mar 10, 2015",0,84
"Mar 11, 2015",0,107
"Mar 12, 2015",0,83
"Mar 13, 2015",0,63
"Mar 14, 2015",0,48
"Mar 15, 2015",0,36
"Mar 16, 2015",0,98
"Mar 17, 2015",0,115
"Mar 18, 2015",0,98
"Mar 19, 2015",0,83
"Mar 20, 2015",0,111
"Mar 21, 2015",0,116
"Mar 22, 2015",0,46
"Mar 23, 2015",0,85
"Mar 24, 2015",0,91
"Mar 25, 2015",0,89
"Mar 26, 2015",0,155
"Mar 27, 2015",0,78
"Mar 28, 2015",0,53
"Mar 29, 2015",0,34
"Mar 30, 2015",0,94
"Mar 31, 2015",0,114
"Apr 1, 2015",0,107
"Apr 2, 2015",0,111
"Apr 3, 2015",0,74
"Apr 4, 2015",0,69
"Apr 5, 2015",0,44
"Apr 6, 2015",0,95
"Apr 7, 2015",0,97
"Apr 8, 2015",0,94
"Apr 9, 2015",0,90
"Apr 10, 2015",0,95
"Apr 11, 2015",0,40
"Apr 12, 2015",0,34
"Apr 13, 2015",0,81
"Apr 14, 2015",0,88
"Apr 15, 2015",0,89
"Apr 16, 2015",0,110
"Apr 17, 2015",0,91
"Apr 18, 2015",0,58
"Apr 19, 2015",0,60
"Apr 20, 2015",0,90
"Apr 21, 2015",0,104
"Apr 22, 2015",0,87
"Apr 23, 2015",0,115
"Apr 24, 2015",0,112
"Apr 25, 2015",0,47
"Apr 26, 2015",0,64
"Apr 27, 2015",0,98
"Apr 28, 2015",0,82
"Apr 29, 2015",0,99
"Apr 30, 2015",0,95
"May 1, 2015",0,48
"May 2, 2015",0,46
"May 3, 2015",0,50
"May 4, 2015",0,78
"May 5, 2015",0,94
"May 6, 2015",0,89
"May 7, 2015",0,92
"May 8, 2015",0,91
"May 9, 2015",0,49
"May 10, 2015",0,44
"May 11, 2015",0,70
"May 12, 2015",0,95
"May 13, 2015",0,105
"May 14, 2015",0,70
"May 15, 2015",0,37
"May 16, 2015",0,46
"May 17, 2015",0,57
"May 18, 2015",0,62
"May 19, 2015",0,61
"May 20, 2015",0,67
"May 21, 2015",0,56
"May 22, 2015",0,65
"May 23, 2015",0,49
"May 24, 2015",0,39
"May 25, 2015",0,79
"May 26, 2015",0,94
"May 27, 2015",0,78
"May 28, 2015",0,93
"May 29, 2015",0,60
"May 30, 2015",0,56
"May 31, 2015",0,41
"Jun 1, 2015",0,68
"Jun 2, 2015",0,60
"Jun 3, 2015",0,63
"Jun 4, 2015",0,71
"Jun 5, 2015",0,59
"Jun 6, 2015",0,34
"Jun 7, 2015",0,58
"Jun 8, 2015",0,48
"Jun 9, 2015",0,59
"Jun 10, 2015",0,61
"Jun 11, 2015",0,88
"Jun 12, 2015",0,55
"Jun 13, 2015",0,47
"Jun 14, 2015",0,47
"Jun 15, 2015",0,63
"Jun 16, 2015",0,67
"Jun 17, 2015",0,86
"Jun 18, 2015",0,67
"Jun 19, 2015",0,55
"Jun 20, 2015",0,29
"Jun 21, 2015",0,32
"Jun 22, 2015",0,66
"Jun 23, 2015",0,66
"Jun 24, 2015",0,79
"Jun 25, 2015",0,53
"Jun 26, 2015",0,37
"Jun 27, 2015",0,49
"Jun 28, 2015",0,19
"Jun 29, 2015",0,57
"Jun 30, 2015",0,64
"Jul 1, 2015",0,66
"Jul 2, 2015",0,63
"Jul 3, 2015",0,63
"Jul 4, 2015",0,40
"Jul 5, 2015",0,20
"Jul 6, 2015",0,58
"Jul 7, 2015",0,61
"Jul 8, 2015",0,71
"Jul 9, 2015",0,55
"Jul 10, 2015",0,57
"Jul 11, 2015",0,40
"Jul 12, 2015",0,22
"Jul 13, 2015",0,50
"Jul 14, 2015",0,75
"Jul 15, 2015",0,71
"Jul 16, 2015",0,63
"Jul 17, 2015",0,60
"Jul 18, 2015",0,36
"Jul 19, 2015",0,22
"Jul 20, 2015",0,54
"Jul 21, 2015",0,68
"Jul 22, 2015",0,55
"Jul 23, 2015",0,46
"Jul 24, 2015",0,68
"Jul 25, 2015",0,48
"Jul 26, 2015",0,32
"Jul 27, 2015",0,67
"Jul 28, 2015",0,51
"Jul 29, 2015",0,59
"Jul 30, 2015",0,63
"Jul 31, 2015",0,48
"Aug 1, 2015",0,29
"Aug 2, 2015",0,27
"Aug 3, 2015",0,47
"Aug 4, 2015",0,65
"Aug 5, 2015",0,67
"Aug 6, 2015",0,71
"Aug 7, 2015",0,60
"Aug 8, 2015",0,42
"Aug 9, 2015",0,21
"Aug 10, 2015",0,56
"Aug 11, 2015",0,67
"Aug 12, 2015",0,74
"Aug 13, 2015",0,55
"Aug 14, 2015",0,54
"Aug 15, 2015",0,34
"Aug 16, 2015",0,44
"Aug 17, 2015",0,63
"Aug 18, 2015",0,74
"Aug 19, 2015",0,61
"Aug 20, 2015",0,61
"Aug 21, 2015",0,55
"Aug 22, 2015",0,38
"Aug 23, 2015",0,23
"Aug 24, 2015",0,67
"Aug 25, 2015",0,64
"Aug 26, 2015",0,59
"Aug 27, 2015",0,53
"Aug 28, 2015",0,51
"Aug 29, 2015",0,23
"Aug 30, 2015",0,34
"Aug 31, 2015",0,57
"Sep 1, 2015",0,52
"Sep 2, 2015",0,80
"Sep 3, 2015",0,66
"Sep 4, 2015",0,57
"Sep 5, 2015",0,42
"Sep 6, 2015",0,30
"Sep 7, 2015",0,65
"Sep 8, 2015",0,67
"Sep 9, 2015",0,62
"Sep 10, 2015",0,64
"Sep 11, 2015",0,54
"Sep 12, 2015",0,22
"Sep 13, 2015",0,25
"Sep 14, 2015",0,52
"Sep 15, 2015",0,59
"Sep 16, 2015",0,47
"Sep 17, 2015",0,41
"Sep 18, 2015",0,41
"Sep 19, 2015",0,32
"Sep 20, 2015",0,21
